"NDC Description",NDC,"NADAC Per Unit","Effective Date","Pricing Unit","Pharmacy Type Indicator",OTC,"Explanation Code","Classification for Rate Setting","Corresponding Generic Drug NADAC Per Unit","Corresponding Generic Drug Effective Date","As of Date"
"12HR NASAL DECONGEST ER 120 MG",24385005452,0.28527,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"12HR NASAL DECONGEST ER 120 MG",70000065601,0.28527,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"24H NASAL ALLERGY 55 MCG SPRAY",46122038576,0.77203,04/22/2026,ML,C/I,Y,"1, 5",G,,,04/29/2026
"24HR ALLERGY(LEVOCETIRZN) 5 MG",70000036201,0.20851,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"24HR ALLERGY(LEVOCETIRZN) 5 MG",70000036202,0.20851,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"3-DAY VAGINAL CREAM",51672206200,0.30381,04/22/2026,GM,C/I,Y,"1, 5, 6",G,,,04/29/2026
"8 HOUR ACETAMINOPHEN ER 650 MG",46122006271,0.06444,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"8HR ARTHRITIS PAIN ER 650 MG",00904756160,0.06444,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"8HR ARTHRITIS PAIN ER 650 MG",46122062978,0.06444,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"8HR ARTHRITIS PAIN ER 650 MG",70000073301,0.06444,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"8HR MUSCLE ACHE-PAIN ER 650 MG",70000073401,0.06444,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ABACAVIR 300 MG TABLET",00378410591,0.65861,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABACAVIR 300 MG TABLET",00904687404,0.65861,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABACAVIR 300 MG TABLET",00904687406,0.65861,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABACAVIR 300 MG TABLET",31722055760,0.65861,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABACAVIR 300 MG TABLET",50268004911,0.65861,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABACAVIR 300 MG TABLET",50268004912,0.65861,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABACAVIR 300 MG TABLET",51079020401,0.65861,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABACAVIR 300 MG TABLET",51079020406,0.65861,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABACAVIR 300 MG TABLET",64380071703,0.65861,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABACAVIR 300 MG TABLET",65862007360,0.65861,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABACAVIR 300 MG TABLET",68084002111,0.65861,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABACAVIR 300 MG TABLET",68084002121,0.65861,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABACAVIR 300 MG TABLET",69097051403,0.65861,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABACAVIR-LAMIVUDINE 600-300 MG",42385096230,1.32059,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABACAVIR-LAMIVUDINE 600-300 MG",65862033530,1.32059,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABACAVIR-LAMIVUDINE 600-300 MG",69097036202,1.32059,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIGALE 1 MG-0.5 MG TABLET",70700033084,0.66719,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIGALE 1 MG-0.5 MG TABLET",70700033085,0.66719,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIGALE LO 0.5-0.1 MG TABLET",70700030384,0.67783,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIGALE LO 0.5-0.1 MG TABLET",70700030385,0.67783,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABILIFY 10 MG TABLET",59148000813,18.58017,04/22/2026,EA,C/I,N,1,B,0.10076,04/22/2026,04/29/2026
"ABILIFY 15 MG TABLET",59148000913,18.57826,04/22/2026,EA,C/I,N,1,B,0.13412,04/22/2026,04/29/2026
"ABILIFY 2 MG TABLET",59148000613,18.64731,04/22/2026,EA,C/I,N,1,B,0.11223,04/22/2026,04/29/2026
"ABILIFY 20 MG TABLET",59148001013,26.30228,04/22/2026,EA,C/I,N,1,B,0.17419,04/22/2026,04/29/2026
"ABILIFY 30 MG TABLET",59148001113,26.19595,04/22/2026,EA,C/I,N,1,B,0.17359,04/22/2026,04/29/2026
"ABILIFY 5 MG TABLET",59148000713,18.66945,04/22/2026,EA,C/I,N,1,B,0.09968,04/22/2026,04/29/2026
"ABILIFY ASIMTUFII 720 MG/2.4 ML",59148010280,1775.69935,01/01/2026,ML,C/I,N,"2, 5",B,,,04/29/2026
"ABILIFY ASIMTUFII 960 MG/3.2 ML",59148011480,1782.43002,01/01/2026,ML,C/I,N,"2, 5",B,,,04/29/2026
"ABILIFY MAINTENA ER 300 MG SYR",59148004580,2142.74797,01/01/2026,EA,C/I,N,2,B,,,04/29/2026
"ABILIFY MAINTENA ER 300 MG VL",59148001870,2139.41285,01/01/2026,EA,C/I,N,4,B,,,04/29/2026
"ABILIFY MAINTENA ER 300 MG VL",59148001871,2139.41285,01/01/2026,EA,C/I,N,4,B,,,04/29/2026
"ABILIFY MAINTENA ER 300 MG VL",59148023212,2139.41285,01/01/2026,EA,C/I,N,4,B,,,04/29/2026
"ABILIFY MAINTENA ER 400 MG SYR",59148007280,2859.97401,01/01/2026,EA,C/I,N,2,B,,,04/29/2026
"ABILIFY MAINTENA ER 400 MG VL",59148001970,2855.87745,01/01/2026,EA,C/I,N,2,B,,,04/29/2026
"ABILIFY MAINTENA ER 400 MG VL",59148001971,2855.87745,01/01/2026,EA,C/I,N,2,B,,,04/29/2026
"ABILIFY MAINTENA ER 400 MG VL",59148024512,2855.87745,01/01/2026,EA,C/I,N,2,B,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",00143959721,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",00378692078,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",00904694804,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",16714096301,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",43598035804,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",60219116507,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",60505432701,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",60687079011,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",60687079021,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",64980041812,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",68001048907,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",68462013508,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",69238116507,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",71921017820,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",72205003092,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",72205028492,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",72603011001,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",75907022404,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",82009013912,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",82249001012,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",82293000110,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 500 MG TAB",00378692191,3.25461,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 500 MG TAB",43598046860,3.25461,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 500 MG TAB",60219175406,3.25461,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 500 MG TAB",60505476406,3.25461,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 500 MG TAB",68001067306,3.25461,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 500 MG TAB",68462088260,3.25461,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 500 MG TAB",69238175406,3.25461,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 500 MG TAB",71921017706,3.25461,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
